|6.6.6
h2o_1E-14_3.tab                                                                                     
           2
f_CO2   
  -12.000000000000000     
   4.1139240506329111E-002
         317
f_O2    
  -110.00000000000000     
  0.34810126582278483     
         317
           8
f_CO2          f_O2           MgO,wt%        FeO,wt%        SiO2,wt%       H2O,wt%        O2,wt%         CO2,wt%       
 -9.16139       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -9.12025       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -9.07911       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -9.03797       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.99684       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.95570       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.91456       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.87342       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.83228       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.79114       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.75000       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.70886       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.66772       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.62658       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.58544       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.54430       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.50316       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.46203       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.42089       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.37975       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.33861       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.29747       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.25633       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.21519       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.17405       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.13291       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.09177       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.05063       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -8.00949       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -7.96835       -110.000        31.5853        37.5350        39.2387        0.00000       -8.35893        0.00000     
 -7.92722       -110.000        29.8684        35.4946        37.1057        0.00000       -7.90454        5.43588     
 -7.88608       -110.000        29.8683        35.4946        37.1057        0.00000       -7.90454        5.43589     
