|6.6.6
h2o_1E-14_3.tab                                                                                     
           2
f_CO2   
  -12.000000000000000     
   4.1139240506329111E-002
         317
f_O2    
  -110.00000000000000     
  0.34810126582278483     
         317
           5
f_CO2          f_O2           C[O(HP)1]      C[Opx(HP)2]    C[Cc(AE)3]    
 -7.39241       -110.000                 NaN  0.999992       0.999988     
 -7.35127       -110.000                 NaN  0.999991       0.999986     
 -7.31013       -110.000                 NaN  0.999990       0.999985     
 -7.26899       -110.000                 NaN  0.999989       0.999983     
 -7.22785       -110.000                 NaN  0.999988       0.999982     
 -7.18671       -110.000                 NaN  0.999987       0.999980     
 -7.14557       -110.000                 NaN  0.999985       0.999978     
 -7.10443       -110.000                 NaN  0.999984       0.999976     
 -7.06329       -110.000                 NaN  0.999983       0.999974     
 -7.02215       -110.000                 NaN  0.999980       0.999969     
 -6.98101       -110.000                 NaN  0.999978       0.999967     
 -6.93987       -110.000                 NaN  0.999974       0.999962     
 -6.89873       -110.000                 NaN  0.999974       0.999962     
 -6.85759       -110.000                 NaN  0.999972       0.999958     
 -6.81646       -110.000                 NaN            NaN  0.999954     
 -6.77532       -110.000                 NaN            NaN  0.999948     
 -6.73418       -110.000                 NaN            NaN  0.999944     
 -6.69304       -110.000                 NaN            NaN  0.999944     
 -6.65190       -110.000                 NaN            NaN  0.999928     
 -6.61076       -110.000                 NaN            NaN  0.999925     
 -6.56962       -110.000                 NaN            NaN  0.999918     
 -6.52848       -110.000                 NaN            NaN  0.999909     
 -6.48734       -110.000                 NaN            NaN  0.999900     
 -6.44620       -110.000                 NaN            NaN  0.999890     
 -6.40506       -110.000                 NaN            NaN  0.999881     
 -6.36392       -110.000                 NaN            NaN  0.999867     
 -6.32278       -110.000                 NaN            NaN  0.999853     
 -6.28165       -110.000                 NaN            NaN  0.999840     
 -6.24051       -110.000                 NaN            NaN  0.999826     
 -6.19937       -110.000                 NaN            NaN  0.999806     
 -6.15823       -110.000                 NaN            NaN  0.999786     
 -6.11709       -110.000                 NaN            NaN  0.999766     
 -6.07595       -110.000                 NaN            NaN  0.999746     
 -6.03481       -110.000                 NaN            NaN  0.999716     
 -5.99367       -110.000                 NaN            NaN  0.999687     
 -5.95253       -110.000                 NaN            NaN  0.999658     
 -5.91139       -110.000                 NaN            NaN  0.999628     
 -5.87025       -110.000                 NaN            NaN  0.999586     
 -5.82911       -110.000                 NaN            NaN  0.999543     
 -5.78797       -110.000                 NaN            NaN  0.999500     
 -5.74684       -110.000                 NaN            NaN  0.999457     
 -5.70570       -110.000                 NaN            NaN  0.999395     
 -5.66456       -110.000                 NaN            NaN  0.999332     
 -5.62342       -110.000                 NaN            NaN  0.999270     
 -5.58228       -110.000                 NaN            NaN  0.999207     
 -5.54114       -110.000                 NaN            NaN  0.999116     
 -5.50000       -110.000                 NaN            NaN  0.999024     
 -5.45886       -110.000                 NaN            NaN  0.998933     
 -5.41772       -110.000                 NaN            NaN  0.998842     
 -5.37658       -110.000                 NaN            NaN  0.998708     
 -5.33544       -110.000                 NaN            NaN  0.998575     
 -5.29430       -110.000                 NaN            NaN  0.998441     
 -5.25316       -110.000                 NaN            NaN  0.998308     
 -5.21203       -110.000                 NaN            NaN  0.998113     
 -5.17089       -110.000                 NaN            NaN  0.997918     
 -5.12975       -110.000                 NaN            NaN  0.997723     
 -5.08861       -110.000                 NaN            NaN  0.997529     
 -5.04747       -110.000                 NaN            NaN  0.997244     
 -5.00633       -110.000                 NaN            NaN  0.996959     
 -4.96519       -110.000                 NaN            NaN  0.996675     
 -4.92405       -110.000                 NaN            NaN  0.996390     
 -4.88291       -110.000                 NaN            NaN  0.995974     
 -4.84177       -110.000                 NaN            NaN  0.995558     
 -4.80063       -110.000                 NaN            NaN  0.995142     
 -4.75949       -110.000                 NaN            NaN  0.994727     
 -4.71835       -110.000                 NaN            NaN  0.994119     
 -4.67722       -110.000                 NaN            NaN  0.993511     
 -4.63608       -110.000                 NaN            NaN  0.992904     
 -4.59494       -110.000                 NaN            NaN  0.992298     
 -4.55380       -110.000                 NaN            NaN  0.991409     
 -4.51266       -110.000                 NaN            NaN  0.990522     
 -4.47152       -110.000                 NaN            NaN  0.989636     
 -4.43038       -110.000                 NaN            NaN  0.988752     
 -4.38924       -110.000                 NaN            NaN  0.987451     
 -4.34810       -110.000                 NaN            NaN  0.986153     
 -4.30696       -110.000                 NaN            NaN  0.984859     
 -4.26582       -110.000                 NaN            NaN  0.983569     
 -4.22468       -110.000                 NaN            NaN  0.981665     
 -4.18354       -110.000                 NaN            NaN  0.979768     
 -4.14241       -110.000                 NaN            NaN  0.977573     
 -4.10127       -110.000                 NaN            NaN  0.975997     
 -4.06013       -110.000                 NaN            NaN  0.972511     
 -4.01899       -110.000                 NaN            NaN  0.965865     
 -3.97785       -110.000                 NaN            NaN  0.962976     
 -3.93671       -110.000                 NaN            NaN  0.964941     
 -3.89557       -110.000                 NaN            NaN  0.954167     
 -3.85443       -110.000                 NaN            NaN  0.949917     
 -3.81329       -110.000                 NaN            NaN  0.952105     
 -3.77215       -110.000                 NaN            NaN  0.948787     
 -3.73101       -110.000                 NaN            NaN  0.941119     
 -3.68987       -110.000                 NaN            NaN  0.933575     
 -3.64873       -110.000                 NaN            NaN  0.926150     
 -3.60759       -110.000                 NaN            NaN  0.925195     
 -3.56646       -110.000                 NaN            NaN  0.911649     
 -3.52532       -110.000                 NaN            NaN  0.882398     
 -3.48418       -110.000                 NaN            NaN  0.872226     
