|6.6.6
h2o_1E-14_3.tab                                                                                     
           2
f_CO2   
  -12.000000000000000     
   4.1139240506329111E-002
         317
f_O2    
  -110.00000000000000     
  0.34810126582278483     
         317
           9
f_CO2          f_O2           O(HP)          Opx(HP)        iron           mt             hem            Cc(AE)         q             
 -9.98418       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.94304       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.90190       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.86076       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.81962       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.77848       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.73734       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.69620       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.65506       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.61392       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.57278       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.53165       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.49051       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.44937       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.40823       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.36709       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.32595       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.28481       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.24367       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.20253       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.16139       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.12025       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.07911       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -9.03797       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.99684       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.95570       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.91456       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.87342       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.83228       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.79114       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.75000       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.70886       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.66772       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.62658       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.58544       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.54430       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.50316       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.46203       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.42089       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.37975       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.33861       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.29747       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.25633       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.21519       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.17405       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.13291       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.09177       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.05063       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -8.00949       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -7.96835       -110.000        22.1320        63.4946        14.3733                 NaN            NaN            NaN            NaN
 -7.92722       -110.000                 NaN   73.5241        13.3149                 NaN            NaN   13.1610                 NaN
 -7.88608       -110.000                 NaN   73.5241        13.3149                 NaN            NaN   13.1610                 NaN
 -7.84494       -110.000                 NaN   73.5241        13.3149                 NaN            NaN   13.1610                 NaN
 -7.80380       -110.000                 NaN   73.5241        13.3149                 NaN            NaN   13.1611                 NaN
 -7.76266       -110.000                 NaN   73.5240        13.3149                 NaN            NaN   13.1611                 NaN
 -7.72152       -110.000                 NaN   73.5240        13.3149                 NaN            NaN   13.1611                 NaN
 -7.68038       -110.000                 NaN   73.5240        13.3148                 NaN            NaN   13.1611                 NaN
 -7.63924       -110.000                 NaN   73.5240        13.3148                 NaN            NaN   13.1612                 NaN
 -7.59810       -110.000                 NaN   73.5240        13.3148                 NaN            NaN   13.1612                 NaN
 -7.55696       -110.000                 NaN   73.5240        13.3148                 NaN            NaN   13.1612                 NaN
 -7.51582       -110.000                 NaN   73.5239        13.3148                 NaN            NaN   13.1613                 NaN
 -7.47468       -110.000                 NaN   73.5239        13.3148                 NaN            NaN   13.1613                 NaN
 -7.43354       -110.000                 NaN   73.5239        13.3147                 NaN            NaN   13.1614                 NaN
 -7.39241       -110.000                 NaN   73.5238        13.3147                 NaN            NaN   13.1614                 NaN
 -7.35127       -110.000                 NaN   73.5238        13.3147                 NaN            NaN   13.1615                 NaN
 -7.31013       -110.000                 NaN   73.5237        13.3147                 NaN            NaN   13.1616                 NaN
 -7.26899       -110.000                 NaN   73.5237        13.3146                 NaN            NaN   13.1617                 NaN
 -7.22785       -110.000                 NaN   73.5237        13.3146                 NaN            NaN   13.1617                 NaN
 -7.18671       -110.000                 NaN   73.5236        13.3146                 NaN            NaN   13.1618                 NaN
 -7.14557       -110.000                 NaN   73.5235        13.3145                 NaN            NaN   13.1619                 NaN
 -7.10443       -110.000                 NaN   73.5235        13.3145                 NaN            NaN   13.1621                 NaN
 -7.06329       -110.000                 NaN   73.5234        13.3144                 NaN            NaN   13.1622                 NaN
 -7.02215       -110.000                 NaN   73.5233        13.3143                 NaN            NaN   13.1624                 NaN
 -6.98101       -110.000                 NaN   73.5232        13.3143                 NaN            NaN   13.1625                 NaN
 -6.93987       -110.000                 NaN   73.5230        13.3142                 NaN            NaN   13.1628                 NaN
 -6.89873       -110.000                 NaN   73.5230        13.3142                 NaN            NaN   13.1628                 NaN
 -6.85759       -110.000                 NaN   73.5229        13.3141                 NaN            NaN   13.1630                 NaN
 -6.81646       -110.000                 NaN            NaN   9.14781                 NaN            NaN   54.2577        36.5945     
 -6.77532       -110.000                 NaN            NaN   9.14770                 NaN            NaN   54.2579        36.5944     
 -6.73418       -110.000                 NaN            NaN   9.14764                 NaN            NaN   54.2580        36.5943     
 -6.69304       -110.000                 NaN            NaN   9.14764                 NaN            NaN   54.2580        36.5943     
 -6.65190       -110.000                 NaN            NaN   9.14736                 NaN            NaN   54.2586        36.5941     
 -6.61076       -110.000                 NaN            NaN   9.14730                 NaN            NaN   54.2587        36.5940     
 -6.56962       -110.000                 NaN            NaN   9.14718                 NaN            NaN   54.2589        36.5939     
 -6.52848       -110.000                 NaN            NaN   9.14702                 NaN            NaN   54.2592        36.5938     
 -6.48734       -110.000                 NaN            NaN   9.14685                 NaN            NaN   54.2595        36.5936     
 -6.44620       -110.000                 NaN            NaN   9.14668                 NaN            NaN   54.2598        36.5935     
 -6.40506       -110.000                 NaN            NaN   9.14652                 NaN            NaN   54.2602        36.5933     
 -6.36392       -110.000                 NaN            NaN   9.14627                 NaN            NaN   54.2606        36.5931     
 -6.32278       -110.000                 NaN            NaN   9.14603                 NaN            NaN   54.2611        36.5929     
 -6.28165       -110.000                 NaN            NaN   9.14579                 NaN            NaN   54.2615        36.5927     
 -6.24051       -110.000                 NaN            NaN   9.14555                 NaN            NaN   54.2620        36.5925     
 -6.19937       -110.000                 NaN            NaN   9.14519                 NaN            NaN   54.2627        36.5921     
 -6.15823       -110.000                 NaN            NaN   9.14484                 NaN            NaN   54.2633        36.5918     
 -6.11709       -110.000                 NaN            NaN   9.14448                 NaN            NaN   54.2640        36.5915     
 -6.07595       -110.000                 NaN            NaN   9.14413                 NaN            NaN   54.2647        36.5912     
 -6.03481       -110.000                 NaN            NaN   9.14361                 NaN            NaN   54.2657        36.5907     
 -5.99367       -110.000                 NaN            NaN   9.14309                 NaN            NaN   54.2666        36.5903     
 -5.95253       -110.000                 NaN            NaN   9.14257                 NaN            NaN   54.2676        36.5898     
 -5.91139       -110.000                 NaN            NaN   9.14206                 NaN            NaN   54.2686        36.5893     
 -5.87025       -110.000                 NaN            NaN   9.14130                 NaN            NaN   54.2700        36.5887     
 -5.82911       -110.000                 NaN            NaN   9.14054                 NaN            NaN   54.2715        36.5880     
 -5.78797       -110.000                 NaN            NaN   9.13979                 NaN            NaN   54.2729        36.5873     
 -5.74684       -110.000                 NaN            NaN   9.13903                 NaN            NaN   54.2743        36.5866     
 -5.70570       -110.000                 NaN            NaN   9.13792                 NaN            NaN   54.2764        36.5856     
 -5.66456       -110.000                 NaN            NaN   9.13682                 NaN            NaN   54.2785        36.5846     
 -5.62342       -110.000                 NaN            NaN   9.13571                 NaN            NaN   54.2806        36.5837     
 -5.58228       -110.000                 NaN            NaN   9.13460                 NaN            NaN   54.2827        36.5827     
 -5.54114       -110.000                 NaN            NaN   9.13298                 NaN            NaN   54.2858        36.5812     
 -5.50000       -110.000                 NaN            NaN   9.13137                 NaN            NaN   54.2889        36.5798     
 -5.45886       -110.000                 NaN            NaN   9.12975                 NaN            NaN   54.2919        36.5783     
 -5.41772       -110.000                 NaN            NaN   9.12814                 NaN            NaN   54.2950        36.5769     
 -5.37658       -110.000                 NaN            NaN   9.12577                 NaN            NaN   54.2995        36.5748     
 -5.33544       -110.000                 NaN            NaN   9.12341                 NaN            NaN   54.3039        36.5727     
 -5.29430       -110.000                 NaN            NaN   9.12105                 NaN            NaN   54.3084        36.5705     
 -5.25316       -110.000                 NaN            NaN   9.11869                 NaN            NaN   54.3129        36.5684     
 -5.21203       -110.000                 NaN            NaN   9.11523                 NaN            NaN   54.3194        36.5653     
 -5.17089       -110.000                 NaN            NaN   9.11178                 NaN            NaN   54.3260        36.5622     
 -5.12975       -110.000                 NaN            NaN   9.10833                 NaN            NaN   54.3325        36.5592     
 -5.08861       -110.000                 NaN            NaN   9.10488                 NaN            NaN   54.3391        36.5561     
 -5.04747       -110.000                 NaN            NaN   9.09983                 NaN            NaN   54.3486        36.5515     
 -5.00633       -110.000                 NaN            NaN   9.09478                 NaN            NaN   54.3582        36.5470     
 -4.96519       -110.000                 NaN            NaN   9.08973                 NaN            NaN   54.3678        36.5425     
 -4.92405       -110.000                 NaN            NaN   9.08468                 NaN            NaN   54.3773        36.5380     
 -4.88291       -110.000                 NaN            NaN   9.07729                 NaN            NaN   54.3913        36.5314     
 -4.84177       -110.000                 NaN            NaN   9.06990                 NaN            NaN   54.4053        36.5248     
 -4.80063       -110.000                 NaN            NaN   9.06252                 NaN            NaN   54.4193        36.5182     
 -4.75949       -110.000                 NaN            NaN   9.05513                 NaN            NaN   54.4333        36.5116     
 -4.71835       -110.000                 NaN            NaN   9.04431                 NaN            NaN   54.4538        36.5019     
 -4.67722       -110.000                 NaN            NaN   9.03349                 NaN            NaN   54.4743        36.4922     
 -4.63608       -110.000                 NaN            NaN   9.02268                 NaN            NaN   54.4948        36.4825     
 -4.59494       -110.000                 NaN            NaN   9.01188                 NaN            NaN   54.5153        36.4728     
 -4.55380       -110.000                 NaN            NaN   8.99601                 NaN            NaN   54.5453        36.4586     
 -4.51266       -110.000                 NaN            NaN   8.98016                 NaN            NaN   54.5754        36.4445     
 -4.47152       -110.000                 NaN            NaN   8.96433                 NaN            NaN   54.6054        36.4303     
 -4.43038       -110.000                 NaN            NaN   8.94850                 NaN            NaN   54.6354        36.4161     
 -4.38924       -110.000                 NaN            NaN   8.92519                 NaN            NaN   54.6795        36.3953     
 -4.34810       -110.000                 NaN            NaN   8.90191                 NaN            NaN   54.7237        36.3744     
 -4.30696       -110.000                 NaN            NaN   8.87865                 NaN            NaN   54.7677        36.3536     
 -4.26582       -110.000                 NaN            NaN   8.85542                 NaN            NaN   54.8117        36.3328     
 -4.22468       -110.000                 NaN            NaN   8.82109                 NaN            NaN   54.8768        36.3021     
 -4.18354       -110.000                 NaN            NaN   8.78682                 NaN            NaN   54.9417        36.2714     
 -4.14241       -110.000                 NaN            NaN   8.74706                 NaN            NaN   55.0171        36.2359     
 -4.10127       -110.000                 NaN            NaN   8.71845                 NaN            NaN   55.0713        36.2103     
 -4.06013       -110.000                 NaN            NaN   8.65497                 NaN            NaN   55.1916        36.1535     
 -4.01899       -110.000                 NaN            NaN   8.53327                 NaN            NaN   55.4222        36.0445     
 -3.97785       -110.000                 NaN            NaN   8.48007                 NaN            NaN   55.5230        35.9969     
 -3.93671       -110.000                 NaN            NaN   8.51628                 NaN            NaN   55.4544        36.0293     
 -3.89557       -110.000                 NaN            NaN   8.31675                 NaN            NaN   55.8325        35.8508     
 -3.85443       -110.000                 NaN            NaN   8.23736                 NaN            NaN   55.9829        35.7797     
 -3.81329       -110.000                 NaN            NaN   8.27828                 NaN            NaN   55.9054        35.8164     
 -3.77215       -110.000                 NaN            NaN   8.21618                 NaN            NaN   56.0230        35.7608     
 -3.73101       -110.000                 NaN            NaN   8.07175                 NaN            NaN   56.2967        35.6315     
 -3.68987       -110.000                 NaN            NaN   7.92836                 NaN            NaN   56.5684        35.5032     
 -3.64873       -110.000                 NaN            NaN   7.78599                 NaN            NaN   56.8382        35.3758     
 -3.60759       -110.000                 NaN            NaN   7.76758                 NaN            NaN   56.8731        35.3593     
 -3.56646       -110.000                 NaN            NaN   7.50431                 NaN            NaN   57.3719        35.1237     
 -3.52532       -110.000                 NaN            NaN   6.92096                 NaN            NaN   58.4773        34.6017     
 -3.48418       -110.000                 NaN            NaN   6.71321                 NaN            NaN   58.8710        34.4158     
 -3.44304       -110.000                 NaN            NaN   7.08924                 NaN            NaN   58.1585        34.7523     
 -3.40190       -110.000                 NaN            NaN   6.70002                 NaN            NaN   58.8960        34.4040     
 -3.36076       -110.000                 NaN            NaN   6.24818                 NaN            NaN   59.7522        33.9996     
 -3.31962       -110.000                 NaN            NaN   5.35452                 NaN            NaN   61.4456        33.1999     
 -3.27848       -110.000                 NaN            NaN   6.04597                 NaN            NaN   60.1353        33.8187     
 -3.23734       -110.000                 NaN            NaN   4.37608                 NaN            NaN   63.2996        32.3243     
 -3.19620       -110.000                 NaN            NaN   5.31920                 NaN            NaN   61.5125        33.1683     
 -3.15506       -110.000                 NaN            NaN   4.29674                 NaN            NaN   63.4499        32.2533     
 -3.11392       -110.000                 NaN            NaN   4.39865                 NaN            NaN   63.2568        32.3445     
 -3.07278       -110.000                 NaN            NaN   3.84630                 NaN            NaN   64.3035        31.8502     
 -3.03165       -110.000                 NaN            NaN   3.21922                 NaN            NaN   65.4917        31.2891     
 -2.99051       -110.000                 NaN            NaN   2.50424                 NaN            NaN   66.8465        30.6493     
 -2.94937       -110.000                 NaN            NaN   1.68585                 NaN            NaN   68.3973        29.9169     
 -2.90823       -110.000                 NaN            NaN  0.744292                 NaN            NaN   70.1814        29.0743     
 -2.86709       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.82595       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.78481       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.74367       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.70253       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.66139       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.62025       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.57911       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.53797       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.49684       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.45570       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.41456       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.37342       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.33228       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.29114       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.25000       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.20886       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.16772       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.12658       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.08544       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.04430       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -2.00316       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.96203       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.92089       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.87975       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.83861       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.79747       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.75633       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.71519       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.67405       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.63291       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.59177       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.55063       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.50949       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.46835       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.42722       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.38608       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.34494       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.30380       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.26266       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.22152       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.18038       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.13924       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.09810       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.05696       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 -1.01582       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.974684       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.933544       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.892405       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.851266       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.810127       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.768987       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.727848       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.686709       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.645570       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.604430       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.563291       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.522152       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.481013       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.439873       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.398734       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.357595       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.316456       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.275316       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.234177       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.193038       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.151899       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.110759       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.696203E-001  -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
-0.284810E-001  -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.126582E-001  -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.537975E-001  -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.949367E-001  -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.136076       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.177215       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.218354       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.259494       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.300633       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.341772       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.382911       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.424051       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.465190       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.506329       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
 0.547468       -110.000                 NaN            NaN            NaN            NaN            NaN   71.5918        28.4082     
